date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:34	24/24	U-----	200	untouched ('OK')	text/plain	date:Sat,%2021%20Jun%202025%2017:38:50%20GMT	http://127.0.0.1:8000/robots.txt		(from )
20:49:35	16851/-1	U--M--	200	updated ('OK')	text/html	date:Mon,%2023%20Jun%202025%2012:49:34%20GMT	http://127.0.0.1:8000/	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/index.html	(from )
20:49:35	57449/57449	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jun%202025%2012:49:35%20GMT	http://127.0.0.1:8000/build/assets/site-B98x91xT.css	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/build/assets/site-B98x91xT.css	(from http://127.0.0.1:8000/)
20:49:37	4681137/4681137	U-----	200	untouched ('')	image/jpeg	date:Mon,%2023%20Jun%202025%2012:42:33%20GMT	http://127.0.0.1:8000/assets/dsc_0373.jpg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/dsc_0373.jpg	(from http://127.0.0.1:8000/)
20:49:37	124281/124281	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:38:52%20GMT	http://127.0.0.1:8000/assets/pngimg.com---php_png34.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/pngimg.com---php_png34.png	(from http://127.0.0.1:8000/)
20:49:38	37110/37110	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:38:53%20GMT	http://127.0.0.1:8000/assets/laravel-logo.wine.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/laravel-logo.wine.png	(from http://127.0.0.1:8000/)
20:49:38	9332/9332	U-----	200	untouched ('')	image/webp	date:Sat,%2021%20Jun%202025%2017:38:59%20GMT	http://127.0.0.1:8000/assets/free-bootstrap-logo-icon-download-in-svg-png-gif-file-formats--wordmark-programming-langugae-language-pack-logos-icons-1175203.webp	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/free-bootstrap-logo-icon-download-in-svg-png-gif-file-formats--wordmark-programming-langugae-language-pack-logos-icons-1175203.webp	(from http://127.0.0.1:8000/)
20:49:39	12815/12815	U-----	200	untouched ('')	image/png	date:Mon,%2023%20Jun%202025%2012:42:36%20GMT	http://127.0.0.1:8000/assets/html5_logo_and_wordmark.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/html5_logo_and_wordmark.svg.png	(from http://127.0.0.1:8000/)
20:49:39	58394/58394	U-----	200	untouched ('')	image/png	date:Mon,%2023%20Jun%202025%2012:42:36%20GMT	http://127.0.0.1:8000/assets/css3_logo_and_wordmark.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/css3_logo_and_wordmark.svg.png	(from http://127.0.0.1:8000/)
20:49:39	10268/10268	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:39:10%20GMT	http://127.0.0.1:8000/assets/javascript-logo.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/javascript-logo.png	(from http://127.0.0.1:8000/)
20:49:39	83278/83278	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:39:11%20GMT	http://127.0.0.1:8000/assets/tailwind_css_logo.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/tailwind_css_logo.svg.png	(from http://127.0.0.1:8000/)
20:49:39	17103/-1	U--M--	200	updated ('OK')	text/html	date:Mon,%2023%20Jun%202025%2012:49:37%20GMT	http://127.0.0.1:8000/portfolio	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/portfolio.html	(from http://127.0.0.1:8000/)
20:49:39	55571/55571	U-----	200	untouched ('')	image/jpeg	date:Sat,%2021%20Jun%202025%2017:39:12%20GMT	http://127.0.0.1:8000/assets/1_vwae0qwgv9noupl61bbmqw.jpg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/1_vwae0qwgv9noupl61bbmqw.jpg	(from http://127.0.0.1:8000/)
20:49:39	18016/18016	U-----	200	untouched ('')	image/jpeg	date:Sat,%2021%20Jun%202025%2017:39:13%20GMT	http://127.0.0.1:8000/assets/statamic-product-logo.jpeg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/statamic-product-logo.jpg	(from http://127.0.0.1:8000/)
20:49:40	32165/32165	U-----	200	untouched ('')	image/png	date:Mon,%2023%20Jun%202025%2012:42:32%20GMT	http://127.0.0.1:8000/assets/adobe_photoshop_cc_icon.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/adobe_photoshop_cc_icon.svg.png	(from http://127.0.0.1:8000/)
20:49:40	9909/9909	U-----	200	untouched ('')	image/png	date:Mon,%2023%20Jun%202025%2012:42:35%20GMT	http://127.0.0.1:8000/assets/adobe_premiere_pro_cc_icon.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/adobe_premiere_pro_cc_icon.svg.png	(from http://127.0.0.1:8000/)
20:49:42	130858/130858	---M--	200	added ('OK')	application/javascript	date:Mon,%2023%20Jun%202025%2012:49:35%20GMT	http://127.0.0.1:8000/build/assets/site-DLRH8RZK.js	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/build/assets/site-DLRH8RZK.js	(from http://127.0.0.1:8000/)
20:49:42	10396/10396	U-----	200	untouched ('')	image/png	date:Mon,%2023%20Jun%202025%2012:42:39%20GMT	http://127.0.0.1:8000/assets/facebook.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/facebook.png	(from http://127.0.0.1:8000/portfolio)
20:49:42	13423/13423	U-----	200	untouched ('')	image/png	date:Mon,%2023%20Jun%202025%2012:42:39%20GMT	http://127.0.0.1:8000/assets/linkedin.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/linkedin.png	(from http://127.0.0.1:8000/portfolio)
