date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:42:31	24/24	U-----	200	untouched ('OK')	text/plain	date:Sat,%2021%20Jun%202025%2017:38:50%20GMT	http://127.0.0.1:8000/robots.txt		(from )
20:42:32	16714/-1	U--M--	200	updated ('OK')	text/html	date:Mon,%2023%20Jun%202025%2012:42:32%20GMT	http://127.0.0.1:8000/	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/index.html	(from )
20:42:32	552/552	---M--	200	added ('OK')	text/javascript	etag:W/%224d-WKN0Q02+uPxrKV0ttFaeDXI5/4E%22	http://[::1]:5173/resources/js/site.js	E:/statamic/my-new-portfolio/my-new-portfolio/[__1]_5173/resources/js/site.js	(from http://127.0.0.1:8000/)
20:42:32	1092/1092	---M--	200	added ('OK')	text/css	etag:W/%221092-1750681789677%22	http://[::1]:5173/resources/css/site.css	E:/statamic/my-new-portfolio/my-new-portfolio/[__1]_5173/resources/css/site.css	(from http://127.0.0.1:8000/)
20:42:33	124281/124281	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:38:52%20GMT	http://127.0.0.1:8000/assets/pngimg.com---php_png34.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/pngimg.com---php_png34.png	(from http://127.0.0.1:8000/)
20:42:33	37110/37110	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:38:53%20GMT	http://127.0.0.1:8000/assets/laravel-logo.wine.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/laravel-logo.wine.png	(from http://127.0.0.1:8000/)
20:42:35	9332/9332	U-----	200	untouched ('')	image/webp	date:Sat,%2021%20Jun%202025%2017:38:59%20GMT	http://127.0.0.1:8000/assets/free-bootstrap-logo-icon-download-in-svg-png-gif-file-formats--wordmark-programming-langugae-language-pack-logos-icons-1175203.webp	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/free-bootstrap-logo-icon-download-in-svg-png-gif-file-formats--wordmark-programming-langugae-language-pack-logos-icons-1175203.webp	(from http://127.0.0.1:8000/)
20:42:36	9909/9909	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jun%202025%2012:42:35%20GMT	http://127.0.0.1:8000/assets/adobe_premiere_pro_cc_icon.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/adobe_premiere_pro_cc_icon.svg.png	(from http://127.0.0.1:8000/)
20:42:36	32165/32165	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Jun%202025%2012:42:32%20GMT	http://127.0.0.1:8000/assets/adobe_photoshop_cc_icon.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/adobe_photoshop_cc_icon.svg.png	(from http://127.0.0.1:8000/)
20:42:37	16966/-1	U--M--	200	updated ('OK')	text/html	date:Mon,%2023%20Jun%202025%2012:42:33%20GMT	http://127.0.0.1:8000/portfolio	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/portfolio.html	(from http://127.0.0.1:8000/)
20:42:37	10268/10268	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:39:10%20GMT	http://127.0.0.1:8000/assets/javascript-logo.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/javascript-logo.png	(from http://127.0.0.1:8000/)
20:42:37	83278/83278	U-----	200	untouched ('')	image/png	date:Sat,%2021%20Jun%202025%2017:39:11%20GMT	http://127.0.0.1:8000/assets/tailwind_css_logo.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/tailwind_css_logo.svg.png	(from http://127.0.0.1:8000/)
20:42:38	21018/21018	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Jun%202025%2012:42:37%20GMT	http://[::1]:5173/resources/css/tailwindcss	E:/statamic/my-new-portfolio/my-new-portfolio/[__1]_5173/resources/css/tailwindcss.4.delayed	(from http://[::1]:5173/resources/css/site.css)
20:42:38	55571/55571	U-----	200	untouched ('')	image/jpeg	date:Sat,%2021%20Jun%202025%2017:39:12%20GMT	http://127.0.0.1:8000/assets/1_vwae0qwgv9noupl61bbmqw.jpg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/1_vwae0qwgv9noupl61bbmqw.jpg	(from http://127.0.0.1:8000/)
20:42:39	18016/18016	U-----	200	untouched ('')	image/jpeg	date:Sat,%2021%20Jun%202025%2017:39:13%20GMT	http://127.0.0.1:8000/assets/statamic-product-logo.jpeg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/statamic-product-logo.jpg	(from http://127.0.0.1:8000/)
